id,model,sample_id,theory_name,abbreviation,key_proponents,characterization,source_theory_name
1,deepseek-v3.2,4,Dimensional Resonance Theory Of Consciousness (DRTC),DRTC,AI-generated,"DRTC proposes that consciousness emerges from stable, self-sustaining resonance patterns within cortical tissue, termed the 'Consciousness Resonance Signature' (CRS). This signature forms through precise, recurrent interactions of neural populations firing in high-gamma (80-150 Hz) and epsilon (>200 Hz) frequency ranges. The multi-dimensional shape of this resonance—characterized by phase coherence, amplitude modulation depth, and spatial harmonic distribution across cortical layers—directly constitutes phenomenal experience. The theory posits that the CRS is not a byproduct of neural activity but is identical to the subjective state itself. DRTC addresses the hard problem by suggesting that consciousness is an intrinsic property of neural matter organized in this specific resonant state, analogous to how liquidity emerges from water molecules in particular dynamical arrangements.",Dimensional Resonance Theory of Consciousness (DRTC)
2,mistral-large,12,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes consciousness emerges from the brain's capacity to recursively bind temporally extended neural processes into a unified, self-sustaining representational loop. This mechanism operates through four processes: (1) temporal binding via phase synchronization in thalamocortical loops, creating a 'temporal frame' defining the subjective present; (2) recursive reentry through cortico-thalamic pathways, allowing the brain to process its own recent activity; (3) predictive self-modeling, generating a dynamic self-referential model where 'self' emerges as the invariant across temporal frames; and (4) energy minimization, where the system stabilizes when the recursive loop minimizes prediction errors between anticipated future and actual present. This creates a stable 'now' that explains consciousness as a continuous flow rather than discrete snapshots, accounting for both the unity of conscious experience and self-awareness.",Temporal Recursive Binding Theory (TRBT)
3,deepseek-v3.2,14,Resonant Boundary Theory (RBT),RBT,AI-generated,"RBT proposes that consciousness emerges from resonant coupling between neural computational dynamics and the brain's stable boundary conditions formed by its anatomical and functional architecture. Consciousness arises when neural activity becomes phase-locked with topological and temporal boundary conditions (white matter tracts, thalamocortical loops, laminar structure), creating a self-referential loop of constraint and activation. Qualia correspond to specific modes of these resonant states, determined by which boundary conditions are engaged. The theory posits that subjective experience is an intrinsic, non-computational property of these constrained dynamical states, similar to how wetness emerges from water molecules in specific configurations. RBT explains consciousness disorders as breakdowns in establishing or maintaining resonant boundary states, and predicts specific phase-locking patterns during conscious versus unconscious states.",Resonant Boundary Theory
4,llama-3.3-70b-instruct,4,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from the interaction between two neural processes: forward predictions from internal world models and backward echoes reflecting the brain's internal state. When these processes intersect, they create self-referential resonance that generates conscious experience. This resonance occurs in high-level multimodal brain regions including the prefrontal cortex, posterior parietal cortex, and default mode network. The theory distinguishes itself by emphasizing how self-referentiality and self-modeling contribute to subjective experience, explaining phenomena like cross-modal integration, attention-consciousness relationships, and consciousness disturbances in neurological disorders. ERT predicts distinctive echo-like neural activity patterns in high-level brain areas that correlate with subjective experience, and that disrupting this resonance would selectively impair conscious perception.",Echo-Resonance Theory (ERT)
5,deepseek-v3.2,20,Consciousness As Causal Geometry (CCG),CCG,AI-generated,"This theory proposes that consciousness emerges from the geometric structure of causal relationships within a physical system's state space. A system's momentary state exists as a point in a high-dimensional space, with its dynamics creating a unique geometric object defined by all possible future and past states weighted by their conditional probabilities. This causal geometry possesses quantifiable properties like curvature, topology, and boundary structure. Crucially, the theory identifies subjective experience directly with this geometric shape—different shapes correspond to different qualia. The theory addresses the hard problem by positing that the experience is not an additional property but the intrinsic structure of the system's causal potential. This framework explains consciousness's graded nature, unity-with-diversity, and causal efficacy, while providing a basis for cross-system comparison of conscious states.",Consciousness as Causal Geometry
6,deepseek-v3.2,13,Consciousness As Dynamic Information Geometry (DIG),DIG,AI-generated,"DIG proposes that consciousness emerges when neural systems develop a specific geometric configuration in their state space—a 'phenomenal manifold.' This self-referential structure forms as the brain learns to predict its own internal state transitions. The geometric properties of this manifold (curvature, dimensionality, connectivity) directly correspond to subjective experience. Qualia represent the brain's navigation through this manifold; the experience of 'red' is the specific path and local geometry traversed when processing that wavelength. The theory addresses the hard problem by identifying consciousness with the geometry itself—the isomorphism between neural dynamics and the manifold is an identity relation. This approach explains qualia structure, experiential unity, attention effects, and consciousness disorders as properties of the manifold's geometry and connectivity.",Consciousness as Dynamic Information Geometry (DIG)
7,deepseek-v3.2,7,Resonant Emergence Theory (RET),RET,AI-generated,"RET proposes that consciousness emerges when neural activity reaches a critical point between order and chaos, creating a system-wide resonance pattern. At this phase transition, attractor dynamics collapse into a coherent oscillation pattern spanning multiple neural assemblies, forming a 'resonant field.' This field represents a novel emergent physical state—a self-sustaining wave pattern—that binds disparate computational modules into a unified temporal 'now.' The specific frequency and amplitude modulation patterns constitute qualia. The theory addresses the hard problem by framing consciousness as a first-person physical state whose intrinsic properties are the subjective experience itself. This resonant field emerges only at criticality, explaining both normal consciousness and altered states as variations in resonance parameters.",Resonant Emergence Theory
8,llama-3.3-70b-instruct,2,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from complex patterns of neural echoes reverberating through the brain. These echoes represent an active process of neural re-entrance where the brain continuously re-processes its own activity, creating resonant frequencies that generate subjective experience. Unlike passive reflections, these neural echoes synchronize across different brain regions during conscious states, forming coherent patterns that integrate diverse sensory inputs into unified perceptions. The theory addresses fundamental questions in consciousness research, including the binding problem and the unity of conscious experience. ERT suggests that the strength and duration of neural echoes directly correlate with the complexity and vividness of conscious experiences, offering a mechanistic explanation for how subjective awareness arises from neural activity.",Echo-Resonance Theory (ERT)
9,mistral-large,3,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes that consciousness emerges from the brain's capacity to recursively bind temporally extended neural processes into a unified, self-sustaining representational loop. This mechanism involves phase synchronization of neural oscillations (theta and gamma ranges) that dynamically bind neural activity across multiple time scales into a coherent representation of 'now.' The bound temporal representation is recursively fed back into the system, creating a self-sustaining loop where the brain continuously re-represents its own state. This recursive process incorporates predictive models of future states mediated by the default mode and frontoparietal control networks. Consciousness emerges when this recursive binding reaches a critical threshold of complexity and stability, allowing the system to maintain a coherent, self-updating representation despite perturbations.",Temporal Recursive Binding Theory (TRBT)
10,gemini-3.1-pro-preview,5,Topological Frustration Resolution Theory (TFRT),TFRT,AI-generated,"This theory proposes that consciousness emerges from the physical process of resolving topological frustration between asynchronous neural networks. When distinct functional networks generate conflicting geometric representations of the same sensory or internal states, the brain attempts to resolve these mismatches through topological phase transitions. The qualitative aspects of conscious experience directly correspond to the multidimensional geometric shapes formed during this alignment process. The theory predicts that consciousness diminishes when networks synchronize perfectly, explaining why highly practiced tasks become unconscious as networks align. It suggests that conscious experience intensity correlates with the magnitude of transient topological holes in the functional connectome, and that dissociative anesthetics work by disrupting the physical resolution of topological mismatches rather than by halting information integration.",Topological Frustration Resolution Theory
